"Year","Month","SST"
"1",1975,"Jan",5.55613660812378
"2",1975,"Feb",4.9034743309021
"3",1975,"Mar",4.94628810882568
"4",1975,"Apr",5.50680255889893
"5",1975,"May",6.75891733169556
"6",1975,"Jun",8.10872459411621
"7",1975,"Jul",10.7711524963379
"8",1975,"Aug",11.5135526657104
"9",1975,"Sep",11.3199291229248
"10",1975,"Oct",9.74292182922363
"11",1975,"Nov",7.3766622543335
"12",1975,"Dec",6.17794036865234
"13",1976,"Jan",5.47419786453247
"14",1976,"Feb",5.43011951446533
"15",1976,"Mar",4.9540114402771
"16",1976,"Apr",5.39892196655273
"17",1976,"May",6.56502676010132
"18",1976,"Jun",9.15960121154785
"19",1976,"Jul",11.6613206863403
"20",1976,"Aug",12.548303604126
"21",1976,"Sep",11.5894298553467
"22",1976,"Oct",9.82731437683105
"23",1976,"Nov",8.31147956848145
"24",1976,"Dec",7.69266033172607
"25",1977,"Jan",6.69584131240845
"26",1977,"Feb",6.72160720825195
"27",1977,"Mar",6.060959815979
"28",1977,"Apr",6.17512464523315
"29",1977,"May",7.95454359054565
"30",1977,"Jun",10.3099851608276
"31",1977,"Jul",11.8686695098877
"32",1977,"Aug",13.1011304855347
"33",1977,"Sep",12.8678150177002
"34",1977,"Oct",10.6523351669312
"35",1977,"Nov",7.81419897079468
"36",1977,"Dec",6.35808753967285
"37",1978,"Jan",6.15067768096924
"38",1978,"Feb",5.91367816925049
"39",1978,"Mar",5.86755084991455
"40",1978,"Apr",6.50753307342529
"41",1978,"May",8.13252544403076
"42",1978,"Jun",10.3356351852417
"43",1978,"Jul",11.4727258682251
"44",1978,"Aug",13.0754528045654
"45",1978,"Sep",12.5635347366333
"46",1978,"Oct",10.6172819137573
"47",1978,"Nov",8.27853775024414
"48",1978,"Dec",7.28713512420654
"49",1979,"Jan",5.94642210006714
"50",1979,"Feb",5.3907904624939
"51",1979,"Mar",5.58515214920044
"52",1979,"Apr",6.49544620513916
"53",1979,"May",7.91231298446655
"54",1979,"Jun",9.85019207000732
"55",1979,"Jul",12.1335020065308
"56",1979,"Aug",13.6717777252197
"57",1979,"Sep",13.4153070449829
"58",1979,"Oct",11.0999193191528
"59",1979,"Nov",9.26905250549316
"60",1979,"Dec",7.39067411422729
"61",1980,"Jan",6.20440721511841
"62",1980,"Feb",5.757493019104
"63",1980,"Mar",5.87695264816284
"64",1980,"Apr",6.33565855026245
"65",1980,"May",7.69918632507324
"66",1980,"Jun",9.70457172393799
"67",1980,"Jul",11.914737701416
"68",1980,"Aug",12.3891801834106
"69",1980,"Sep",11.579005241394
"70",1980,"Oct",10.3107690811157
"71",1980,"Nov",8.76348304748535
"72",1980,"Dec",7.21103715896606
"73",1981,"Jan",6.52003574371338
"74",1981,"Feb",6.32129764556885
"75",1981,"Mar",6.49972867965698
"76",1981,"Apr",6.72325277328491
"77",1981,"May",8.62146854400635
"78",1981,"Jun",10.7861080169678
"79",1981,"Jul",12.3068561553955
"80",1981,"Aug",13.3811826705933
"81",1981,"Sep",12.668906211853
"82",1981,"Oct",10.6208410263062
"83",1981,"Nov",8.94634628295898
"84",1981,"Dec",7.42279481887817
"85",1982,"Jan",6.33266639709473
"86",1982,"Feb",5.7458758354187
"87",1982,"Mar",5.32348680496216
"88",1982,"Apr",5.61276197433472
"89",1982,"May",6.92225122451782
"90",1982,"Jun",9.44704437255859
"91",1982,"Jul",10.9758491516113
"92",1982,"Aug",12.4242429733276
"93",1982,"Sep",11.9077301025391
"94",1982,"Oct",10.486701965332
"95",1982,"Nov",8.22477722167969
"96",1982,"Dec",7.37658452987671
"97",1983,"Jan",6.73824739456177
"98",1983,"Feb",6.56930828094482
"99",1983,"Mar",6.95625782012939
"100",1983,"Apr",7.45339822769165
"101",1983,"May",8.88715362548828
"102",1983,"Jun",11.0989284515381
"103",1983,"Jul",13.0869979858398
"104",1983,"Aug",14.1463241577148
"105",1983,"Sep",12.5600891113281
"106",1983,"Oct",10.4739551544189
"107",1983,"Nov",8.73326110839844
"108",1983,"Dec",7.92079734802246
"109",1984,"Jan",6.93839693069458
"110",1984,"Feb",6.5751256942749
"111",1984,"Mar",6.81741237640381
"112",1984,"Apr",6.77418804168701
"113",1984,"May",8.29207706451416
"114",1984,"Jun",10.3688011169434
"115",1984,"Jul",11.9171190261841
"116",1984,"Aug",13.5945310592651
"117",1984,"Sep",12.3205718994141
"118",1984,"Oct",10.4428606033325
"119",1984,"Nov",8.58841037750244
"120",1984,"Dec",7.39873504638672
"121",1985,"Jan",6.68846416473389
"122",1985,"Feb",6.28646278381348
"123",1985,"Mar",5.66911745071411
"124",1985,"Apr",5.90627145767212
"125",1985,"May",7.13504457473755
"126",1985,"Jun",8.73480892181396
"127",1985,"Jul",11.3220281600952
"128",1985,"Aug",12.3897294998169
"129",1985,"Sep",11.698317527771
"130",1985,"Oct",9.79060077667236
"131",1985,"Nov",7.06778955459595
"132",1985,"Dec",6.21655178070068
"133",1986,"Jan",6.12819051742554
"134",1986,"Feb",5.88815402984619
"135",1986,"Mar",6.14131832122803
"136",1986,"Apr",6.37700796127319
"137",1986,"May",7.72481679916382
"138",1986,"Jun",9.63457679748535
"139",1986,"Jul",11.2894411087036
"140",1986,"Aug",12.647536277771
"141",1986,"Sep",12.4543981552124
"142",1986,"Oct",10.9882221221924
"143",1986,"Nov",9.34637546539307
"144",1986,"Dec",8.01704502105713
"145",1987,"Jan",7.25457096099854
"146",1987,"Feb",6.627516746521
"147",1987,"Mar",6.35816287994385
"148",1987,"Apr",6.57744884490967
"149",1987,"May",8.0332498550415
"150",1987,"Jun",9.346999168396
"151",1987,"Jul",11.1790227890015
"152",1987,"Aug",12.5310354232788
"153",1987,"Sep",11.6425542831421
"154",1987,"Oct",10.5011205673218
"155",1987,"Nov",9.20864009857178
"156",1987,"Dec",7.82556819915771
"157",1988,"Jan",6.9626522064209
"158",1988,"Feb",6.58645439147949
"159",1988,"Mar",6.23235845565796
"160",1988,"Apr",6.64472007751465
"161",1988,"May",8.29945373535156
"162",1988,"Jun",9.93364429473877
"163",1988,"Jul",11.6838054656982
"164",1988,"Aug",12.0902719497681
"165",1988,"Sep",11.288179397583
"166",1988,"Oct",10.1352500915527
"167",1988,"Nov",8.43428516387939
"168",1988,"Dec",7.01729869842529
"169",1989,"Jan",6.14125871658325
"170",1989,"Feb",5.18171119689941
"171",1989,"Mar",5.30306100845337
"172",1989,"Apr",6.25850439071655
"173",1989,"May",8.11043357849121
"174",1989,"Jun",10.0577201843262
"175",1989,"Jul",12.5574464797974
"176",1989,"Aug",14.1080617904663
"177",1989,"Sep",13.2323017120361
"178",1989,"Oct",11.1469535827637
"179",1989,"Nov",8.59525585174561
"180",1989,"Dec",7.12952184677124
"181",1990,"Jan",6.37039661407471
"182",1990,"Feb",5.56460952758789
"183",1990,"Mar",5.33834886550903
"184",1990,"Apr",6.13601446151733
"185",1990,"May",7.93261814117432
"186",1990,"Jun",10.7309522628784
"187",1990,"Jul",12.9884853363037
"188",1990,"Aug",13.770583152771
"189",1990,"Sep",13.2763376235962
"190",1990,"Oct",9.96317768096924
"191",1990,"Nov",7.87540006637573
"192",1990,"Dec",6.45890426635742
"193",1991,"Jan",5.73443984985352
"194",1991,"Feb",5.7068510055542
"195",1991,"Mar",5.65563106536865
"196",1991,"Apr",6.29597187042236
"197",1991,"May",7.34854125976562
"198",1991,"Jun",9.7664737701416
"199",1991,"Jul",11.8939790725708
"200",1991,"Aug",12.2448434829712
"201",1991,"Sep",11.8999280929565
"202",1991,"Oct",10.524751663208
"203",1991,"Nov",8.78131198883057
"204",1991,"Dec",7.32286310195923
"205",1992,"Jan",6.59983682632446
"206",1992,"Feb",6.50424242019653
"207",1992,"Mar",6.65615606307983
"208",1992,"Apr",6.95500040054321
"209",1992,"May",8.19778633117676
"210",1992,"Jun",10.0746765136719
"211",1992,"Jul",12.3567247390747
"212",1992,"Aug",12.5989570617676
"213",1992,"Sep",11.3765420913696
"214",1992,"Oct",9.72904586791992
"215",1992,"Nov",8.67496204376221
"216",1992,"Dec",7.3122181892395
"217",1993,"Jan",6.22937059402466
"218",1993,"Feb",5.97065448760986
"219",1993,"Mar",5.89820718765259
"220",1993,"Apr",6.66561889648438
"221",1993,"May",8.35911464691162
"222",1993,"Jun",11.204439163208
"223",1993,"Jul",12.9033012390137
"224",1993,"Aug",13.9860076904297
"225",1993,"Sep",12.4919528961182
"226",1993,"Oct",10.9561748504639
"227",1993,"Nov",8.98946189880371
"228",1993,"Dec",7.71652603149414
"229",1994,"Jan",7.03427457809448
"230",1994,"Feb",6.25272130966187
"231",1994,"Mar",6.243088722229
"232",1994,"Apr",6.63701200485229
"233",1994,"May",8.40892314910889
"234",1994,"Jun",10.7368421554565
"235",1994,"Jul",12.5853366851807
"236",1994,"Aug",14.435152053833
"237",1994,"Sep",12.7207851409912
"238",1994,"Oct",10.1575803756714
"239",1994,"Nov",7.54222345352173
"240",1994,"Dec",6.323157787323
"241",1995,"Jan",6.15771770477295
"242",1995,"Feb",5.88662624359131
"243",1995,"Mar",6.04720306396484
"244",1995,"Apr",6.42530870437622
"245",1995,"May",8.61603164672852
"246",1995,"Jun",10.0950698852539
"247",1995,"Jul",12.6398801803589
"248",1995,"Aug",12.5290803909302
"249",1995,"Sep",12.9653387069702
"250",1995,"Oct",11.010368347168
"251",1995,"Nov",8.22675037384033
"252",1995,"Dec",6.98071098327637
"253",1996,"Jan",6.34003686904907
"254",1996,"Feb",5.88650131225586
"255",1996,"Mar",5.76087427139282
"256",1996,"Apr",6.33492755889893
"257",1996,"May",8.10080909729004
"258",1996,"Jun",10.2018766403198
"259",1996,"Jul",11.8218955993652
"260",1996,"Aug",13.0814571380615
"261",1996,"Sep",12.5447750091553
"262",1996,"Oct",10.0680799484253
"263",1996,"Nov",7.93640184402466
"264",1996,"Dec",6.44608402252197
"265",1997,"Jan",5.51447439193726
"266",1997,"Feb",5.55648231506348
"267",1997,"Mar",5.53333187103271
"268",1997,"Apr",6.26614809036255
"269",1997,"May",8.25902557373047
"270",1997,"Jun",10.9786128997803
"271",1997,"Jul",13.7588300704956
"272",1997,"Aug",14.7553491592407
"273",1997,"Sep",14.401725769043
"274",1997,"Oct",11.5512523651123
"275",1997,"Nov",9.79592609405518
"276",1997,"Dec",8.24458885192871
"277",1998,"Jan",7.1058988571167
"278",1998,"Feb",7.16097831726074
"279",1998,"Mar",7.12619352340698
"280",1998,"Apr",7.28208637237549
"281",1998,"May",8.80066204071045
"282",1998,"Jun",10.3740558624268
"283",1998,"Jul",12.3176145553589
"284",1998,"Aug",13.0144939422607
"285",1998,"Sep",11.693172454834
"286",1998,"Oct",10.550368309021
"287",1998,"Nov",8.97695446014404
"288",1998,"Dec",7.51959705352783
"289",1999,"Jan",6.60373163223267
"290",1999,"Feb",5.9695200920105
"291",1999,"Mar",5.77609252929688
"292",1999,"Apr",5.92435932159424
"293",1999,"May",7.10490751266479
"294",1999,"Jun",8.75535011291504
"295",1999,"Jul",10.8609409332275
"296",1999,"Aug",12.4524250030518
"297",1999,"Sep",11.3019533157349
"298",1999,"Oct",9.52625274658203
"299",1999,"Nov",7.99136066436768
"300",1999,"Dec",7.11719703674316
"301",2000,"Jan",6.1031494140625
"302",2000,"Feb",5.65653085708618
"303",2000,"Mar",5.76060009002686
"304",2000,"Apr",6.30465841293335
"305",2000,"May",7.85843801498413
"306",2000,"Jun",10.2991914749146
"307",2000,"Jul",12.1504106521606
"308",2000,"Aug",12.7561178207397
"309",2000,"Sep",11.7346410751343
"310",2000,"Oct",10.0269603729248
"311",2000,"Nov",8.37221050262451
"312",2000,"Dec",7.34008407592773
"313",2001,"Jan",6.83731365203857
"314",2001,"Feb",6.19551706314087
"315",2001,"Mar",5.91746234893799
"316",2001,"Apr",6.19693374633789
"317",2001,"May",7.31372022628784
"318",2001,"Jun",9.69863414764404
"319",2001,"Jul",11.4972467422485
"320",2001,"Aug",12.7929048538208
"321",2001,"Sep",11.3519887924194
"322",2001,"Oct",9.53219127655029
"323",2001,"Nov",7.64389371871948
"324",2001,"Dec",6.6709942817688
"325",2002,"Jan",6.13036632537842
"326",2002,"Feb",5.52262258529663
"327",2002,"Mar",5.14183855056763
"328",2002,"Apr",5.69971084594727
"329",2002,"May",7.8036413192749
"330",2002,"Jun",9.82061958312988
"331",2002,"Jul",12.0717620849609
"332",2002,"Aug",13.1645803451538
"333",2002,"Sep",12.5986185073853
"334",2002,"Oct",10.8297386169434
"335",2002,"Nov",9.7618236541748
"336",2002,"Dec",8.6919412612915
"337",2003,"Jan",7.485680103302
"338",2003,"Feb",7.06839609146118
"339",2003,"Mar",6.61864614486694
"340",2003,"Apr",7.05629348754883
"341",2003,"May",9.03932476043701
"342",2003,"Jun",10.7388048171997
"343",2003,"Jul",12.9511795043945
"344",2003,"Aug",13.7384967803955
"345",2003,"Sep",12.5037956237793
"346",2003,"Oct",11.0473518371582
"347",2003,"Nov",8.84809589385986
"348",2003,"Dec",7.24106550216675
"349",2004,"Jan",6.20406484603882
"350",2004,"Feb",6.10261869430542
"351",2004,"Mar",5.96200180053711
"352",2004,"Apr",6.93583154678345
"353",2004,"May",8.94235801696777
"354",2004,"Jun",11.5104761123657
"355",2004,"Jul",13.7233076095581
"356",2004,"Aug",14.9267425537109
"357",2004,"Sep",13.1821517944336
"358",2004,"Oct",10.8380842208862
"359",2004,"Nov",8.34883308410645
"360",2004,"Dec",7.08686494827271
"361",2005,"Jan",6.52847576141357
"362",2005,"Feb",6.14013195037842
"363",2005,"Mar",6.3993091583252
"364",2005,"Apr",7.07029008865356
"365",2005,"May",9.66183090209961
"366",2005,"Jun",11.9871263504028
"367",2005,"Jul",14.101655960083
"368",2005,"Aug",14.6910200119019
"369",2005,"Sep",13.3011989593506
"370",2005,"Oct",10.706992149353
"371",2005,"Nov",8.6529483795166
"372",2005,"Dec",7.25388526916504
"373",2006,"Jan",6.63663291931152
"374",2006,"Feb",6.06448698043823
"375",2006,"Mar",5.84348583221436
"376",2006,"Apr",6.39932775497437
"377",2006,"May",8.0090913772583
"378",2006,"Jun",10.9325370788574
"379",2006,"Jul",12.3248376846313
"380",2006,"Aug",12.6835966110229
"381",2006,"Sep",11.9872627258301
"382",2006,"Oct",10.6283979415894
"383",2006,"Nov",8.17765235900879
"384",2006,"Dec",6.84621334075928
"385",2007,"Jan",5.91763162612915
"386",2007,"Feb",5.55624055862427
"387",2007,"Mar",5.28981018066406
"388",2007,"Apr",5.76640319824219
"389",2007,"May",7.39782190322876
"390",2007,"Jun",9.74361228942871
"391",2007,"Jul",12.2569217681885
"392",2007,"Aug",13.5499238967896
"393",2007,"Sep",12.6235179901123
"394",2007,"Oct",9.98203659057617
"395",2007,"Nov",7.86141204833984
"396",2007,"Dec",6.57213926315308
"397",2008,"Jan",5.5204701423645
"398",2008,"Feb",5.14596223831177
"399",2008,"Mar",5.33320379257202
"400",2008,"Apr",5.57082462310791
"401",2008,"May",7.06203079223633
"402",2008,"Jun",9.21652984619141
"403",2008,"Jul",11.2880325317383
"404",2008,"Aug",12.2086715698242
"405",2008,"Sep",11.8079595565796
"406",2008,"Oct",9.92664051055908
"407",2008,"Nov",8.04431343078613
"408",2008,"Dec",6.74297618865967
"409",2009,"Jan",5.6625075340271
"410",2009,"Feb",5.22533893585205
"411",2009,"Mar",5.23509883880615
"412",2009,"Apr",5.59634351730347
"413",2009,"May",7.86916160583496
"414",2009,"Jun",10.4893274307251
"415",2009,"Jul",11.8112783432007
"416",2009,"Aug",12.7726058959961
"417",2009,"Sep",11.9153852462769
"418",2009,"Oct",10.3081388473511
"419",2009,"Nov",8.32061672210693
"420",2009,"Dec",7.02466583251953
"421",2010,"Jan",6.54838991165161
"422",2010,"Feb",6.59376382827759
"423",2010,"Mar",6.39247465133667
"424",2010,"Apr",6.69325971603394
"425",2010,"May",8.36201095581055
"426",2010,"Jun",10.2111663818359
"427",2010,"Jul",11.6562538146973
"428",2010,"Aug",12.7876081466675
"429",2010,"Sep",12.5675382614136
"430",2010,"Oct",10.8336296081543
"431",2010,"Nov",8.90151596069336
"432",2010,"Dec",7.48749113082886
"433",2011,"Jan",6.62483739852905
"434",2011,"Feb",5.96339845657349
"435",2011,"Mar",5.62661600112915
"436",2011,"Apr",6.23032712936401
"437",2011,"May",8.08485889434814
"438",2011,"Jun",11.0898447036743
"439",2011,"Jul",12.6414728164673
"440",2011,"Aug",12.9906120300293
"441",2011,"Sep",11.828254699707
"442",2011,"Oct",10.3979301452637
"443",2011,"Nov",8.01290607452393
"444",2011,"Dec",6.72617626190186
"445",2012,"Jan",5.79855728149414
"446",2012,"Feb",5.28587579727173
"447",2012,"Mar",4.91251802444458
"448",2012,"Apr",6.13221073150635
"449",2012,"May",7.17317771911621
"450",2012,"Jun",9.2928466796875
"451",2012,"Jul",11.1680688858032
"452",2012,"Aug",12.783561706543
"453",2012,"Sep",12.0706224441528
"454",2012,"Oct",10.0487098693848
"455",2012,"Nov",8.38627052307129
"456",2012,"Dec",7.30255317687988
"457",2013,"Jan",6.48538398742676
"458",2013,"Feb",5.91072559356689
"459",2013,"Mar",5.64130306243896
"460",2013,"Apr",6.17666387557983
"461",2013,"May",7.68899965286255
"462",2013,"Jun",10.590048789978
"463",2013,"Jul",13.2175149917603
"464",2013,"Aug",14.2237243652344
"465",2013,"Sep",13.5472116470337
"466",2013,"Oct",10.5240364074707
"467",2013,"Nov",8.84720706939697
"468",2013,"Dec",7.11184406280518
"469",2014,"Jan",6.51564741134644
"470",2014,"Feb",5.88681411743164
"471",2014,"Mar",5.99431037902832
"472",2014,"Apr",6.67117071151733
"473",2014,"May",9.20524311065674
"474",2014,"Jun",11.1726312637329
"475",2014,"Jul",13.3864717483521
"476",2014,"Aug",14.4796085357666
"477",2014,"Sep",13.9440031051636
"478",2014,"Oct",12.1105175018311
"479",2014,"Nov",9.94294357299805
"480",2014,"Dec",8.66722297668457
"481",2015,"Jan",7.54484272003174
"482",2015,"Feb",7.36667490005493
"483",2015,"Mar",7.44531440734863
"484",2015,"Apr",7.7626633644104
"485",2015,"May",9.40479755401611
"486",2015,"Jun",11.6745986938477
"487",2015,"Jul",13.811749458313
"488",2015,"Aug",14.2519426345825
"489",2015,"Sep",12.9183206558228
"490",2015,"Oct",11.4642372131348
"491",2015,"Nov",9.55212688446045
"492",2015,"Dec",8.01145076751709
"493",2016,"Jan",7.4185905456543
"494",2016,"Feb",7.17285966873169
"495",2016,"Mar",7.44156408309937
"496",2016,"Apr",8.21280002593994
"497",2016,"May",9.70258903503418
"498",2016,"Jun",11.7388467788696
"499",2016,"Jul",13.5870780944824
"500",2016,"Aug",14.10719871521
"501",2016,"Sep",13.5453224182129
"502",2016,"Oct",11.6696271896362
"503",2016,"Nov",10.317813873291
"504",2016,"Dec",8.48682689666748
"505",2017,"Jan",7.06098985671997
"506",2017,"Feb",6.43637990951538
"507",2017,"Mar",5.86689186096191
"508",2017,"Apr",6.75945949554443
"509",2017,"May",8.42979335784912
"510",2017,"Jun",10.6898336410522
"511",2017,"Jul",12.8783092498779
"512",2017,"Aug",13.8619422912598
"513",2017,"Sep",12.8993453979492
"514",2017,"Oct",10.8233785629272
"515",2017,"Nov",8.70451545715332
"516",2017,"Dec",7.56318378448486
"517",2018,"Jan",6.82875108718872
"518",2018,"Feb",6.40885257720947
"519",2018,"Mar",6.12503671646118
"520",2018,"Apr",6.86498641967773
"521",2018,"May",8.68770694732666
"522",2018,"Jun",11.0989847183228
"523",2018,"Jul",13.4934558868408
"524",2018,"Aug",14.4087343215942
"525",2018,"Sep",13.8092765808105
"526",2018,"Oct",12.5358180999756
"527",2018,"Nov",10.0667762756348
"528",2018,"Dec",8.63099193572998
"529",2019,"Jan",7.40479373931885
"530",2019,"Feb",6.80001640319824
"531",2019,"Mar",6.90500402450562
"532",2019,"Apr",7.38690137863159
"533",2019,"May",9.41758728027344
"534",2019,"Jun",11.8235473632812
"535",2019,"Jul",14.3647565841675
"536",2019,"Aug",14.6615962982178
"537",2019,"Sep",13.9908676147461
"538",2019,"Oct",11.1210374832153
"539",2019,"Nov",9.80802726745605
"540",2019,"Dec",8.45262432098389
"541",2020,"Jan",7.16898632049561
"542",2020,"Feb",6.27243518829346
"543",2020,"Mar",5.84709024429321
"544",2020,"Apr",6.75838565826416
"545",2020,"May",8.58459186553955
"546",2020,"Jun",11.0404138565063
"547",2020,"Jul",12.8811082839966
"548",2020,"Aug",14.0565099716187
"549",2020,"Sep",13.4781799316406
"550",2020,"Oct",11.7757349014282
"551",2020,"Nov",8.97103118896484
"552",2020,"Dec",7.37240648269653
"553",2021,"Jan",6.63590240478516
"554",2021,"Feb",5.90509271621704
"555",2021,"Mar",5.6454963684082
"556",2021,"Apr",6.06178617477417
"557",2021,"May",7.63633680343628
"558",2021,"Jun",10.3960103988647
"559",2021,"Jul",12.7021608352661
"560",2021,"Aug",13.6182594299316
"561",2021,"Sep",12.5233125686646
"562",2021,"Oct",9.78142547607422
"563",2021,"Nov",8.35825824737549
"564",2021,"Dec",6.66692924499512
"565",2022,"Jan",5.70456504821777
"566",2022,"Feb",5.4849157333374
"567",2022,"Mar",5.78886318206787
"568",2022,"Apr",6.47111701965332
"569",2022,"May",8.22220802307129
"570",2022,"Jun",10.9378128051758
"571",2022,"Jul",13.1150646209717
"572",2022,"Aug",14.327525138855
"573",2022,"Sep",13.8297004699707
"574",2022,"Oct",12.2725763320923
"575",2022,"Nov",8.5557165145874
"576",2022,"Dec",7.01925134658813
